"Title","Link","University","Department","Study_Level","Duration","ECTS","Tuition","Language","Field"
"Philosophy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1379","University Of Cyprus","Department of Classics and Philosophy","Bachelor","4 years","240",NA,"English","Humanities Science"
"Byzantine Studies and the Latin East (Interdepartmental)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1304","University Of Cyprus","Department of History and Archaeology","Master","2 years","120",NA,"English","Humanities Science"
"History And Archaeology - History","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1347","University Of Cyprus","Department of History and Archaeology","Bachelor","4 years","240",NA,"English","Humanities Science"
"History And Archaeology -Archaeology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1348","University Of Cyprus","Department of History and Archaeology","Bachelor","4 years","240",NA,"English","Humanities Science"
"Modern and Contemporary History (19th-20th Century)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1366","University Of Cyprus","Department of History and Archaeology","Master","2 years","120",NA,"English","Humanities Science"
"Ancient History","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1402","University Of Cyprus","Department of History and Archaeology","Master","2 years","120",NA,"English","Humanities Science"
"Gender Studies (Joint with the Centre of Gender StudiesEquality and Empowerment)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1346","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Humanities Science"
"Journalism","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1354","University Of Cyprus","Department of Social and Political Sciences","Bachelor","4 years","240",NA,"English","Humanities Science"
"Ph.D. Program in Theology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=25","Neapolis University","Ph.D. Programs","Master",NA,NA,NA,"English","Humanities Science"
"Theology (MA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1015","University of Nicosia","Theology","Master","1.5 έτος ή 3 εξάμηνα","90",NA,"English","Humanities Science"
"Theology (MA, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1016","University of Nicosia","Theology","Master","3 Εξάμηνα","90",NA,"English","Humanities Science"
"Theology (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1017","University of Nicosia","Theology","Doctorate","3 έτη","180",NA,"English","Humanities Science"
"Hellenic Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1056","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Humanities Science"
"BSc (Hons) Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1589","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Bachelor","4","240","8500","English","Humanities Science"
"MSc Forensic Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1602","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Master","1","90","8925","English","Humanities Science"
"Science   Technology in Cultural Heritage","https://www.studycyprus.eu/en-gb/find/degree/?uInput=683","Cyprus Institute","The Cyprus Institute","Doctorate",NA,NA,NA,"English","Humanities Science"
"ΔΙΚΑΙΟ ΤΗΣ ΕΥΡΩΠΑΪΚΗΣ EΝΩΣΗΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1476","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Master","2","120","7200","English","Law Science"
"ΔΙΚΑΙΟ ΤΗΣ ΕΥΡΩΠΑΪΚΗΣ EΝΩΣΗΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1477","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Doctorate","3","180","4050","English","Law Science"
"Law","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1285","University Of Cyprus","Department of Law","Master","3 semesters","90",NA,"English","Law Science"
"Law","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1357","University Of Cyprus","Department of Law","Bachelor","4 years","240",NA,"English","Law Science"
"LLB in Law","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1137","Frederick University","Department of Law","Bachelor","4 years","240",NA,"English","Law Science"
"MA/LLM in Maritime Law and Shipping Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1140","Frederick University","Department of Maritime Studies","Master","1,5 years","90",NA,"English","Law Science"
"Criminology (MSc, 1.5 Years or 3 Semesters) Distance Learning (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=908","University of Nicosia","Social Sciences","Master","1.5 years","90",NA,"English","Law Science"
"Criminology (MSc, 1.5 Years or 3 Semesters) in Greek","https://www.studycyprus.eu/en-gb/find/degree/?uInput=909","University of Nicosia","Social Sciences","Master","1.5 έτος","90",NA,"English","Law Science"
"Criminology (PhD)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=910","University of Nicosia","Social Sciences","Doctorate","3 έτη","180",NA,"English","Law Science"
"Bachelor of Laws LLB (Hons)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1586","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Law","Bachelor","4","240","8500","English","Law Science"
"LLM Financial and Commercial Law","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1593","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Law","Master","1","90","8925","English","Law Science"
"LLM International Business Law","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1594","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Law","Master","1","90","8925","English","Law Science"
"Master of Laws LLM","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1597","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Law","Master","1","90","8925","English","Law Science"
"Criminal Law and Addictions (MSc, 1.5 Years or 3 Semesters) Joint Degree with the Aristotle University of Thessaloniki","https://www.studycyprus.eu/en-gb/find/degree/?uInput=907","University of Nicosia","Law","Master","1.5 Έτος ή 3 Εξάμηνα","90",NA,"English","Law Science"
"Law (LLB, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=959","University of Nicosia","Law","Bachelor","4 έτη","240",NA,"English","Law Science"
"Law (LLM, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=960","University of Nicosia","Law","Master","1.5 έτος","90",NA,"English","Law Science"
"Law (LLM, 1.5 Years or 3 Semesters) Distance Learning (in English)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=961","University of Nicosia","Law","Master","1.5 Έτος (3 Εξάμηνα)","90",NA,"English","Law Science"
"Law (LLM, 1.5 Years or 3 Semesters) Distance Learning (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=962","University of Nicosia","Law","Master","1.5 Έτος (3 Εξάμηνα)","90",NA,"English","Law Science"
"Law (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=963","University of Nicosia","Law","Doctorate","3 έτη","180",NA,"English","Law Science"
"Law and Politics in the European Union (MA, 1.5 Year or 3 Semesters) Distance Learning (in English)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=964","University of Nicosia","Law","Master","1.5 έτος (3 Εξάμηνα)","90",NA,"English","Law Science"
"Law and Politics in the European Union (MA, 1.5 Year or 3 Semesters) Distance Learning (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=965","University of Nicosia","Law","Master","1.5 έτος (3 Εξάμηνα)","90",NA,"English","Law Science"
"Law and Politics in the European Union (MA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=966","University of Nicosia","Law","Master","1.5 έτος","90",NA,"English","Law Science"
"Law of the Economy and of the Enterprises (LLM, 2 Years) Joint Degree with the Hellenic Open University – Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=967","University of Nicosia","Law","Master","2 έτη","120",NA,"English","Law Science"
"Bachelor of Law (LLB)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=6","Neapolis University","School of Law and Social Sciences","Bachelor",NA,NA,NA,"English","Law Science"
"Master of Law in International and European Business Law (LLM)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=18","Neapolis University","School of Law and Social Sciences","Master",NA,NA,NA,"English","Law Science"
"Law","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1062","European University Cyprus","The School of Law","Bachelor","4 χρόνια","240",NA,"English","Law Science"
"Law","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1063","European University Cyprus","The School of Law","Master","18 μήνες","90",NA,"English","Law Science"
"Law","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1064","European University Cyprus","The School of Law","Doctorate",NA,"180",NA,"English","Law Science"
"Law (Cyprus Law)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1065","European University Cyprus","The School of Law","Bachelor","4 χρόνια","240",NA,"English","Law Science"
"Law (Greek Law)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1066","European University Cyprus","The School of Law","Bachelor","4 χρόνια","240",NA,"English","Law Science"
"Biological Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1292","University Of Cyprus","Department of Biological Sciences","Bachelor","4 years","240",NA,"English","Life and Biological Science"
"Human Biology (BSc, 4 years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=952","University of Nicosia","Life and Health Sciences","Bachelor","4 έτη","240",NA,"English","Life and Biological Science"
"Applied Mathematics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1288","University Of Cyprus","Department of Mathematics and Statistics","Master","3 semesters","93",NA,"English","Mathematics"
"Applied Statistics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1289","University Of Cyprus","Department of Mathematics and Statistics","Master","3 semesters","93",NA,"English","Mathematics"
"Mathematics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1360","University Of Cyprus","Department of Mathematics and Statistics","Bachelor","4 years","240",NA,"English","Mathematics"
"Mathematics And Statistics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1361","University Of Cyprus","Department of Mathematics and Statistics","Bachelor","4 years","240",NA,"English","Mathematics"
"Pure Mathematics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1389","University Of Cyprus","Department of Mathematics and Statistics","Master","3 semesters","93",NA,"English","Mathematics"
"Statistics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1396","University Of Cyprus","Department of Mathematics and Statistics","Doctorate","4 years","240",NA,"English","Mathematics"
"Didactics and Methodology of Mathematics (Joint with Mathematics and Statistics Department and National and Kapodistrian University of Athens)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1324","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Mathematics"
"Didacts and Methodology of Mathematics (Joint with Education Department and National and Kapodistrian University of Athens)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1325","University Of Cyprus","Department of Education","Master","2  years","120",NA,"English","Mathematics"
"Mathematics Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1362","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Mathematics"
"BSc (Hons) Mathematics & Statistics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1588","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Bachelor","4","240","8500","English","Mathematics"
"Mathematics (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=970","University of Nicosia","Computer Science","Bachelor","4 έτη","240",NA,"English","Mathematics"
"Mathematics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1072","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Mathematics"
"ΑΣΤΥΝΟΜΙΚΕΣ ΣΠΟΥΔΕΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1471","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Bachelor","2","120","2880","English","Order and Safety Science"
"Criminology (MSc, 1.5 Years or 3 Semesters) Distance Learning (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=908","University of Nicosia","Social Sciences","Master","1.5 years","90",NA,"English","Order and Safety Science"
"Criminology (MSc, 1.5 Years or 3 Semesters) in Greek","https://www.studycyprus.eu/en-gb/find/degree/?uInput=909","University of Nicosia","Social Sciences","Master","1.5 έτος","90",NA,"English","Order and Safety Science"
"Criminology (PhD)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=910","University of Nicosia","Social Sciences","Doctorate","3 έτη","180",NA,"English","Order and Safety Science"
"International Relations and European Studies (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=958","University of Nicosia","Politics and Governance","Doctorate","3 έτη","180",NA,"English","Order and Safety Science"
"Occupational Safety and Health","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1084","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Order and Safety Science"
"Occupational Safety and Health","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1085","European University Cyprus","The School of Sciences","Doctorate",NA,"180",NA,"English","Order and Safety Science"
"Career Guidance and Counseling","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1033","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Social Science"
"English Language and Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1051","European University Cyprus","Distance Education Unit","Bachelor","4 χρόνια","240",NA,"English","Social Science"
"English Language and Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1052","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Social Science"
"English Language And Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1337","University Of Cyprus","Department of English Studies","Bachelor","4 years","240",NA,"English","Social Science"
"English Literature and Comparative Cultural Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1338","University Of Cyprus","Department of English Studies","Master","3 semesters","90",NA,"English","Social Science"
"Linguistics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1359","University Of Cyprus","Department of English Studies","Master",NA,NA,NA,"English","Social Science"
"Translation Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1397","University Of Cyprus","Department of English Studies","Master",NA,NA,NA,"English","Social Science"
"French Language And Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1345","University Of Cyprus","Department of French and European Studies","Bachelor","4 years","240",NA,"English","Social Science"
"Modern Languages And European Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1368","University Of Cyprus","Department of French and European Studies","Bachelor","4 years","240",NA,"English","Social Science"
"Cognitive Systems (Joint with Psychology Department and Open University of Cyprus)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1319","University Of Cyprus","Department of Computer Science","Master","4 semesters","120",NA,"English","Social Science"
"Cognitive - Educational Phsychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1318","University Of Cyprus","Department of Psychology","Master","2 years","120",NA,"English","Social Science"
"Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1387","University Of Cyprus","Department of Psychology","Doctorate","4 years","255",NA,"English","Social Science"
"Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1388","University Of Cyprus","Department of Psychology","Bachelor","4 years","240",NA,"English","Social Science"
"School Counseling and Guidance (Joint with University of Athens)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1390","University Of Cyprus","Department of Psychology","Master","2 years","140",NA,"English","Social Science"
"School Psychology (Applied Programme)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1391","University Of Cyprus","Department of Psychology","Master","3 years","180",NA,"English","Social Science"
"Social Developmental Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1392","University Of Cyprus","Department of Psychology","Master","2 years","120",NA,"English","Social Science"
"Political Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1382","University Of Cyprus","Department of Social and Political Sciences","Bachelor","4 years","240",NA,"English","Social Science"
"Political Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1383","University Of Cyprus","Department of Social and Political Sciences","Doctorate","4 years","240",NA,"English","Social Science"
"Political Sciences - European Politics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1384","University Of Cyprus","Department of Social and Political Sciences","Master","2 years","100",NA,"English","Social Science"
"Political Sciences - International Relations","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1385","University Of Cyprus","Department of Social and Political Sciences","Master","2 years","100",NA,"English","Social Science"
"Sociology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1393","University Of Cyprus","Department of Social and Political Sciences","Doctorate","4 years","240",NA,"English","Social Science"
"Sociology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1394","University Of Cyprus","Department of Social and Political Sciences","Bachelor","4 years","240",NA,"English","Social Science"
"Ph.D. Program in Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=24","Neapolis University","Ph.D. Programs","Master",NA,NA,NA,"English","Social Science"
"BA Audio Visual Communication","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1116","Frederick University","Department of Journalism, Communication and Mass Media","Bachelor","4 years","240",NA,"English","Social Science"
"BA in Journalism","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1122","Frederick University","Department of Journalism, Communication and Mass Media","Bachelor","4 years","240",NA,"English","Social Science"
"MA in Communication Studies: Media Journalism in the Information Society","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1138","Frederick University","Department of Journalism, Communication and Mass Media","Master","1,5 years","90",NA,"English","Social Science"
"BA in Social Work","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1123","Frederick University","Department of Psychology and Social Work","Bachelor","4 years","240",NA,"English","Social Science"
"BSc in Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1134","Frederick University","Department of Psychology and Social Work","Bachelor","4 years","240",NA,"English","Social Science"
"PhD in Social Work","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1165","Frederick University","Frederick University","Doctorate","4 years","240",NA,"English","Social Science"
"BSc in Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=8","Neapolis University","School of Health Sciences","Bachelor",NA,NA,NA,"English","Social Science"
"MSc in Counselling Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=21","Neapolis University","School of Health Sciences","Master",NA,NA,NA,"English","Social Science"
"MSc in Educational Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=22","Neapolis University","School of Health Sciences","Master",NA,NA,NA,"English","Social Science"
"Digital Communications and Mass Media Concentrations: 1. Journalism, 2. Radio, TV and Digital Broadcasting Media, 3. Film and Creative Media Production (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=913","University of Nicosia","Communications","Bachelor","4 έτη","240",NA,"English","Social Science"
"Media and Communications (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=972","University of Nicosia","Communications","Doctorate","3 έτη","180",NA,"English","Social Science"
"Public Relations, Advertising and Marketing (BA, 4 years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1002","University of Nicosia","Communications","Bachelor","4 έτη","240",NA,"English","Social Science"
"English Language and Literature (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=941","University of Nicosia","Languages and Literature","Bachelor","4 έτη","240",NA,"English","Social Science"
"English Language and Literature (BA, 4 Years) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=942","University of Nicosia","Languages and Literature","Bachelor","4 έτη","240",NA,"English","Social Science"
"Clinical Psychology (MSc, 3 Years or 6 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=899","University of Nicosia","Social Sciences","Master","3 έτη","180",NA,"English","Social Science"
"Clinical Psychology (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=900","University of Nicosia","Social Sciences","Doctorate","3 έτη","210",NA,"English","Social Science"
"Counselling Psychology (MSc, 2.5 Years or 5 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=906","University of Nicosia","Social Sciences","Master","2.5 έτη","150",NA,"English","Social Science"
"Criminology (MSc, 1.5 Years or 3 Semesters) Distance Learning (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=908","University of Nicosia","Social Sciences","Master","1.5 years","90",NA,"English","Social Science"
"Criminology (MSc, 1.5 Years or 3 Semesters) in Greek","https://www.studycyprus.eu/en-gb/find/degree/?uInput=909","University of Nicosia","Social Sciences","Master","1.5 έτος","90",NA,"English","Social Science"
"Criminology (PhD)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=910","University of Nicosia","Social Sciences","Doctorate","3 έτη","180",NA,"English","Social Science"
"Educational / School Psychology (MSc, 3 5 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=934","University of Nicosia","Social Sciences","Master","1.5 2.5 έτη","90",NA,"English","Social Science"
"Educational Psychology (MSc, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=935","University of Nicosia","Social Sciences","Master","3 Εξάμηνα","90",NA,"English","Social Science"
"Psychology (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=996","University of Nicosia","Social Sciences","Bachelor","4 έτη","240",NA,"English","Social Science"
"Psychology (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=997","University of Nicosia","Social Sciences","Doctorate","3 έτη","180",NA,"English","Social Science"
"Social Work (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1003","University of Nicosia","Social Sciences","Bachelor","4 έτη","240",NA,"English","Social Science"
"Social Work (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1004","University of Nicosia","Social Sciences","Master","1.5 έτος","90",NA,"English","Social Science"
"Social Work (MSc, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1005","University of Nicosia","Social Sciences","Master","3 Εξάμηνα","90",NA,"English","Social Science"
"Career Guidance and Counseling","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1032","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Social Science"
"Digital Media","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1041","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Social Science"
"English Language and Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1049","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Social Science"
"English Language and Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1050","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Social Science"
"Mass Media and Communication","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1071","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Social Science"
"Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1091","European University Cyprus","School of Humanities, Social and Education Sciences","Master","2 χρόνια","160",NA,"English","Social Science"
"Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1092","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Social Science"
"Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1093","European University Cyprus","School of Humanities, Social and Education Sciences","Doctorate",NA,"180",NA,"English","Social Science"
"Social Work","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1103","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Social Science"
"International Relations and European Studies (MA, 1.5 Years or 3 Semesters) Distance Learning (in English)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=956","University of Nicosia","Law","Master","1.5 years or 3 semesters","90",NA,"English","Social Science"
"International Relations and European Studies (MA, 1.5 Years or 3 Semesters) Distance Learning (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=957","University of Nicosia","Law","Master","1.5 years or 3 semesters","90",NA,"English","Social Science"
"International Relations and European Studies (MA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=955","University of Nicosia","Politics and Governance","Master","1.5 έτος","90",NA,"English","Social Science"
"Master of European Governance","https://www.studycyprus.eu/en-gb/find/degree/?uInput=16","Neapolis University","School of Law and Social Sciences","Master",NA,NA,NA,"English","Social Science"
"Science   Technology in Cultural Heritage","https://www.studycyprus.eu/en-gb/find/degree/?uInput=683","Cyprus Institute","The Cyprus Institute","Doctorate",NA,NA,NA,"English","Social Science"
"Sports Management (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1007","University of Nicosia","Hospitality, Tourism and Sports Management","Bachelor","4 έτη","240",NA,"English","Sport Science"
"BSc Physical Education and Sport Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1136","Frederick University","Department of Education","Bachelor","4 years","240",NA,"English","Sport Science"
"BSc (Hons) Sport and Exercise Science","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1590","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Bachelor","4","240","8500","English","Sport Science"
"MSc Sport and Exercise Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1603","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Master","4","240","8925","English","Sport Science"
"Exercise Science and Physical Education (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=944","University of Nicosia","Life and Health Sciences","Master","1.5 έτος","90",NA,"English","Sport Science"
"Exercise Science and Physical Education (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=945","University of Nicosia","Life and Health Sciences","Doctorate","3 έτη","180",NA,"English","Sport Science"
"Sports Science (BSc, 4 Years) (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1009","University of Nicosia","Life and Health Sciences","Bachelor","4 έτη","240",NA,"English","Sport Science"
"Sport Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1108","European University Cyprus","The School of Business Administration","Bachelor","4 χρόνια","240",NA,"English","Sport Science"
"Sports Science","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1110","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Sport Science"
"Sports Science and Physical Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1111","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Sport Science"
"Πτυχίο Χημικής Μηχανικής","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1533","Cyprus University of Technology","Τμήμα Χημικών Μηχανικών","Bachelor",NA,"240",NA,"English","Technology and Engineering Science"
"Energy Technologies and Sustainable Design (Interdepartmental)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1334","University Of Cyprus","Department of Architecture","Master","3 semesters","90",NA,"English","Technology and Engineering Science"
"Civil Engineering/Structural Analysis","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1315","University Of Cyprus","Department of Civil and Environmental Engineering","Master","3 semesters","90",NA,"English","Technology and Engineering Science"
"Energy Technologies and Sustainable Design (Interdepartmental)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1335","University Of Cyprus","Department of Civil and Environmental Engineering","Master",NA,NA,NA,"English","Technology and Engineering Science"
"Petroleum Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1378","University Of Cyprus","Department of Civil and Environmental Engineering","Master","3 semsesters","90",NA,"English","Technology and Engineering Science"
"Computer Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1320","University Of Cyprus","Department of Electrical and Computer Engineering","Bachelor","4 years","240",NA,"English","Technology and Engineering Science"
