"Programme","Programme_URL","Institution","ECTS","Language","Degree_Level"
"Master in Biology of organisms and ecology","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Biology of organisms and ecology","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Biology of organisms and ecology","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","English","Master"
"Master in Communication","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Communication","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Communication","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Communication","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","Français, Anglais","Master"
"Master in Communication : Event management","https://www.studyinbelgium.be/en/haute-ecole-galilee-ihecs-0","Haute École Galilée - IHECS","120","French","Master"
"Master in Applied communication : Community work and lifelong learning","https://www.studyinbelgium.be/en/haute-ecole-galilee-ihecs-0","Haute École Galilée - IHECS","60","French","Advanced Master"
"Master in Applied communication : Advertising and business communication","https://www.studyinbelgium.be/en/haute-ecole-galilee-ihecs-0","Haute École Galilée - IHECS","60","French","Advanced Master"
"Master in Applied communication : Public relations","https://www.studyinbelgium.be/en/haute-ecole-galilee-ihecs-0","Haute École Galilée - IHECS","60","French","Advanced Master"
"Master in Specialised applied communication : Community work and lifelong learning","https://www.studyinbelgium.be/en/haute-ecole-galilee-ihecs-0","Haute École Galilée - IHECS","120","French","Master"
"Master in Specialised applied communication : Media education","https://www.studyinbelgium.be/en/haute-ecole-galilee-ihecs-0","Haute École Galilée - IHECS","120","French","Master"
"Master in Specialised applied communication : Advertising and business communication","https://www.studyinbelgium.be/en/haute-ecole-galilee-ihecs-0","Haute École Galilée - IHECS","120","French","Master"
"Master in Specialised applied communication : Public relations","https://www.studyinbelgium.be/en/haute-ecole-galilee-ihecs-0","Haute École Galilée - IHECS","120","French","Master"
"Master in Multilingual communication","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Multilingual communication","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Strategic Communication","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Criminology","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Criminology","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Criminology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Cybersecurity","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","English","Master"
"Master in Dance : Dance and Choreography","https://www.studyinbelgium.be/en/institut-national-superieur-des-arts-du-spectacle-et-des-techniques-de-diffusion","Institut national supérieur des arts du spectacle et des techniques de diffusion","120","Français, Anglais","Master"
"Master in Law","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Law","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","Français, Anglais","Master"
"Master in Law","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Law","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","Français, Anglais","Master"
"Master in Ethics","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Ethics","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","Français, Anglais","Master"
"Master in Bible studies","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in European studies","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","Français, Anglais","Master"
"Master in European studies","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","English","Master"
"Master in European studies","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","Français, Anglais","Master"
"Master in Tax Management and Accountancy","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","120","French","Master"
"Master in Tax Management and Accountancy","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","120","Français, Anglais","Master"
"Master in Facility Management","https://www.studyinbelgium.be/en/haute-ecole-libre-de-bruxelles-ilya-prigogine","Haute École Libre de Bruxelles Ilya Prigogine","120","French","Master"
"Master in Facility Management","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-liege","Haute Ecole de la Province de Liège","120","French","Master"
"Master in Analytical engineering : Biochemistry","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","120","French","Master"
"Master in Analytical engineering : Biochemistry","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","120","French","Master"
"Master in Cultural management","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Site management specialised in sustainable building","https://www.studyinbelgium.be/en/haute-ecole-robert-schuman","Haute Ecole Robert Schuman","120","French","Master"
"Master in Business management","https://www.studyinbelgium.be/en/haute-ecole-francisco-ferrer","Haute Ecole Francisco Ferrer","120","French","Master"
"Master in Business management","https://www.studyinbelgium.be/en/haute-ecole-ichec-ecam-isfsc","Haute Ecole ICHEC - ECAM - ISFSC","120","Français, Anglais","Master"
"Master in Business management","https://www.studyinbelgium.be/en/haute-ecole-ichec-ecam-isfsc","Haute Ecole ICHEC - ECAM - ISFSC","120","Français, Anglais","Master"
"Master in Electromechanical maintenance management","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","120","French","Master"
"Master in Production management","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","120","French","Master"
"Master in Production management","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","120","French","Master"
"Master in Production management","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-liege","Haute Ecole de la Province de Liège","120","French","Master"
"Master in Human resource management","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Human resource management","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Human resource management","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master en gestion intelligente des bâtiments","https://www.studyinbelgium.be/en/haute-ecole-robert-schuman","Haute Ecole Robert Schuman","120","Français, Anglais","Master"
"Master in Public management","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","120","French","Master"
"Master in Public management","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-liege","Haute Ecole de la Province de Liège","120","French","Master"
"Master in History","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","60","French","Advanced Master"
"Master in History","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in History","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in History","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in History","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","French","Advanced Master"
"Master in History of art and archeology : Archaeometry","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in History of Art and Archaeology : General","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","60","French","Advanced Master"
"Master in History of art and archeology","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in History of art and archeology","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in History of art and archeology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","Français, Anglais","Master"
"Master in History of Art and Archaeology : General","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","French","Advanced Master"
"Master in History of Art and Archaeology : Musicology","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","60","French","Advanced Master"
"Master in History of art and archeology : Musicology","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in History of art and archeology : Musicology","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in History of art and archeology : Musicology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in History of Art and Archaeology : Musicology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","French","Advanced Master"
"Master in History of Art and Archaeology : Musicology","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","60","French","Advanced Master"
"Master in Information and communication","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Advanced Master"
"Master in Information and communication","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Advanced Master"
"Master in Information and communication","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Advanced Master"
"Master in Information and communication","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-liege","Haute Ecole de la Province de Liège","120","French","Master"
"Master in Social engineering and action","https://www.studyinbelgium.be/en/haute-ecole-de-namur-liege-luxembourg","Haute École de Namur-Liège-Luxembourg","120","French","Master"
"Master in Social engineering and action","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","120","French","Master"
"Master in Social engineering and action","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","120","French","Master"
"Master in Social engineering and action","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","120","French","Master"
"Master in Social engineering and action","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","120","French","Master"
"Master in Social engineering and action","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","120","French","Master"
"Master in Interpretation","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Interpretation","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","120","French","Master"
"Master in Interpretation","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Interpretation","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Video Games","https://www.studyinbelgium.be/en/haute-ecole-albert-jacquard","Haute Ecole Albert Jacquard","120","Français, Anglais","Master"
"Master in Journalism","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Journalism","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Physiotherapy","https://www.studyinbelgium.be/en/haute-ecole-leonard-de-vinci","Haute Ecole Léonard de Vinci","60","French","Advanced Master"
"Master in Physiotherapy","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","60","French","Advanced Master"
"Master in Physiotherapy","https://www.studyinbelgium.be/en/haute-ecole-libre-de-bruxelles-ilya-prigogine","Haute École Libre de Bruxelles Ilya Prigogine","60","French","Advanced Master"
"Master in Physiotherapy","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","60","French","Advanced Master"
"Master in Physiotherapy","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","60","French","Advanced Master"
"Master in Physiotherapy","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","60","French","Advanced Master"
"Master in Physiotherapy","https://www.studyinbelgium.be/en/haute-ecole-robert-schuman","Haute Ecole Robert Schuman","60","French","Advanced Master"
"Master in Physiotherapy","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","60","French","Advanced Master"
"Master in Physiotherapy","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-liege","Haute Ecole de la Province de Liège","60","French","Advanced Master"
"Master in Physiotherapy and rehabilitation","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","French","Advanced Master"
"Master in Physiotherapy and rehabilitation","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","60","French","Advanced Master"
"Master in Physiotherapy and rehabilitation","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","60","French","Advanced Master"
"Master in Ancient and modern languages and literatures","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Ancient and Modern Languages and Literatures","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","French","Advanced Master"
"Master in Ancient and modern languages and literatures","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Ancient Languages and Literatures : Classics","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","60","French","Advanced Master"
"Master in Ancient languages and literatures : Classics","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Ancient languages and literatures : Classics","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Ancient languages and literatures : Classics","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Ancient Languages and Literatures : Classics","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","French","Advanced Master"
"Master in Ancient Languages and Literatures : Oriental Languages","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","60","French","Advanced Master"
"Master in Ancient languages and literatures: Oriental languages","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Ancient languages and literatures: Oriental languages","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Ancient Languages and Literatures : Oriental Languages","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","French","Advanced Master"
"Master in French and Romance languages and literatures : French as a foreign language","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in French and Romance languages and literatures : French as a foreign language","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in French and Romance languages and literatures : French as a foreign language","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in French and Romance languages and literatures","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in French and Romance languages and literatures","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in French and Romance languages and literatures","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in French and Romance Languages and Literatures : General","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","French","Advanced Master"
"Master in French and Romance Languages and Literatures : General","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","60","French","Advanced Master"
"Master in Modern Languages and Literatures : General","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","60","French","Advanced Master"
"Master in Modern languages and literatures","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Modern languages and literatures","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Modern languages and literatures","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Modern Languages and Literatures : General","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","French","Advanced Master"
"Master in Modern Languages and Literatures : German, Dutch and English","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","60","French","Advanced Master"
"Master in Modern languages and literatures : German, Dutch and English","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Modern languages and literatures : German, Dutch and English","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Modern languages and literatures : German, Dutch and English","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Modern Languages and Literatures : German, Dutch and English","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","French","Advanced Master"
"Master in Modern languages and literatures : Oriental languages","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Modern languages and literatures : Slavic languages","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Linguistics","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Linguistics","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Linguistics","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Speech therapy","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Speech therapy","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","120","French","Master"
"Master in Speech therapy","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","120","French","Master"
"Master in Innovation management and food design","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","120","French","Master"
"Master in Music : Accordion","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Accordion","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Viola","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Viola","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Viola","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Viola","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Opera","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Opera","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Basso continuo","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Basso continuo","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Bassoon","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Bassoon","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Bassoon","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Bassoon","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Baroque and classical Bassoon","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Baroque and classical Bassoon","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Drums","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Singing","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Singing","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Singing","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Singing","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Jazz singing","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Clarinet","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Clarinet","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Clarinet","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Clarinet","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Classical and baroque Clarinet","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Classical and baroque Clarinet","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Harpsichord","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Harpsichord","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Composition","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Composition","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Composition","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Composition, applied and interactive music","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Double bass","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Double bass","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Double bass","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Double bass","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Double bass and violone","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Double bass and violone","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Jazz double bass","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Horn","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Horn","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Horn","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Horn","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Natural horn","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Natural horn","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Bagpipe","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Cornetto","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Choral conducting","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Choral conducting","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Choral conducting","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Choral conducting","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Orchestral conducting","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Orchestral conducting","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Orchestral conducting","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Classical writing","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Classical writing","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Classical writing","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Music education","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Recorder","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Recorder","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Jazz flute","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Transverse flute","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Transverse flute","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Transverse flute","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Transverse flute","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Baroque and classical transverse flute","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Baroque and classical transverse flute","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Musical training","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Musical training","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Musical training","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
